vehicle,stock,price,path
"1955 Chevrolet Bel Air","B37161","49950","/cars/1955-chevrolet-bel-air/"
"1957 Ford Thunderbird","B37107","24450","/cars/1957-ford-thunderbird/"
"1957 Ford Thunderbird","B37104","39750","/cars/1957-ford-thunderbird-b37104/"
"1961 Chevrolet Corvette","37105","49950","/cars/1961-chevrolet-corvette/"
"1965 Pontiac GTO","37109","35000","/cars/1965-pontiac-gto/"
"1966 Chevrolet Corvette","B37158","69000","/cars/1966-chevrolet-corvette/"
"1966 Porsche 911","B37151","94950","/cars/1966-porsche-911/"
"1967 Pontiac GTO","B37142","35000","/cars/1967-pontiac-gto/"
"1968 Ford Mustang","B37133","29000","/cars/1968-ford-mustang/"
"1969 Chevrolet C10","A01599","24000","/cars/1969-chevrolet-c10/"
"1970 Buick GS","37139","30000","/cars/1970-buick-gs/"
"1970 Chevrolet Chevelle SS","B37126","59950","/cars/1970-chevrolet-chevelle-ss/"
"1970 Dodge Coronet","B37141","29950","/cars/1970-dodge-coronet/"
"1970 Plymouth Road Runner","B37120","41000","/cars/1970-plymouth-road-runner/"
"1970 Shelby GT 500","B37156","124950","/cars/1970-shelby-gt-500/"
"1972 Ford Mustang","B37138","18750","/cars/1972-ford-mustang/"
